Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
laitue-batavia-rouge-bio-1-tete,Laitue batavia rouge bio 1 tête,"",Kétar Adèle,,légume,"Bio, Catégorie_Légumes, gros Morne, Légume",true,Poids,1 tête,,,,,,0.0,shopify,113,deny,manual,1.90,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_e72e066b-68b7-4caa-af82-0c92f7a6f3d7.jpg?v=1646312713,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
banane-dessert-1kg-sans-pesticides-nutripaul,Banane dessert 1kg (sans pesticides) - Nutripaul,"<div class=""box-produits"">
<p style=""font-size: 19px; font-weight: 500; font-style: italic; color: #fff; padding: 0 0 5px 0px;"">Consommez local et de saison !</p>
<p style=""font-size: 16px; font-weight: 500; color: #fff; padding: 0 0 5px 0px;"">Selon les aléas climatiques certains produits risquent de ne pas être disponibles.</p>
</div>
<div class=""box-producteurs"">
<p style=""font-size: 16px; font-weight: 500; color: #fff;""><a href=""https://www.ta-nou.bio/pages/ferme-morne-capot"" style=""font-size: 16px; font-weight: 500; color: #fff;"" target=""_blank"">Voir la présentation de cette ferme</a></p>
</div>",Ta Nou,,Frais,"",false,Poids,1kg,,,,,"",0.0,shopify,10000,deny,manual,1.50,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Banane-bio-ferme-morne-capot-lorrain-michel-larougery-Martinique-Ecologie-agroecologie-agriculture-bio_07539e41-bf5c-4b2a-aacc-d2b04f03c9e3.jpg?v=1646230849,1,,false,,,,,,,,,,,,,,,,,kg,,1.02,active
banane-dessert-1kg-sans-pesticides-nutripaul,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/bananas-1354785_1920_cafe403d-03e0-496a-ab56-72fca8617c63.jpg?v=1646230849,2,,,,,,,,,,,,,,,,,,,,,,
banane-dessert-1kg-sans-pesticides-nutripaul,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/BG-Banane-dessert-bio-ferme-morne-capot-lorrain-michel-larougery-Martinique-Ecologie-agroecologie-agriculture-bio_63643a8d-d60f-4571-9817-52991e70f8ff.jpg?v=1646230849,3,Banane dessert bio 1kg Background,,,,,,,,,,,,,,,,,,,,,
banane-dessert-bio-1kg-2,Banane dessert bio 1kg,"<span>Michel est le premier gros fournisseur de banane </span><span class=""spellmod"" title=""brio, bis, bic, bit"">bio</span><span> en Martinique. Avec une réelle volonté de nous livrer un produit sain et un travail acharné, nous constatons le résultat aujourd'hui. Une banane savoureuse et pleine de vertus à déguster dans vos jus ou en cas de petite faim.</span>
<div class=""box-produits"">
<p style=""font-size: 19px; font-weight: 500; font-style: italic; color: #fff; padding: 0 0 5px 0px;"">Consommez local et de saison !</p>
<p style=""font-size: 16px; font-weight: 500; color: #fff; padding: 0 0 5px 0px;"">Selon les aléas climatiques certains produits risquent de ne pas être disponibles.</p>
</div>
<div class=""box-producteurs"">
<p style=""font-size: 16px; font-weight: 500; color: #fff;""><a href=""https://www.ta-nou.bio/pages/ferme-morne-capot"" style=""font-size: 16px; font-weight: 500; color: #fff;"" target=""_blank"" rel=""noopener noreferrer"">Voir la présentation de cette ferme</a></p>
</div>",Lionel Guilon,,fruit,"Bio, Catégorie_Fruits, Catégorie_kaba, Fruit, Fruits_Agrumes, Producteurs_Ferme du Morne Capot",true,Poids,1kg,,,,,"",0.0,shopify,8,deny,manual,2.30,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/bananas-1354785_1920_5ae03f54-126f-45bf-8449-b017812cada9.jpg?v=1646063989,1,,false,,,,,,,,,,,,,,,,,kg,,1.50,active
banane-dessert-bio-1kg-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Banane-bio-ferme-morne-capot-lorrain-michel-larougery-Martinique-Ecologie-agroecologie-agriculture-bio_3cd358c4-5952-46d0-965f-db3d7dccd1b1.jpg?v=1646063989,2,,,,,,,,,,,,,,,,,,,,,,
banane-dessert-bio-1kg-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/BG-Banane-dessert-bio-ferme-morne-capot-lorrain-michel-larougery-Martinique-Ecologie-agroecologie-agriculture-bio_ce335ee3-d4a6-453b-8f5e-f4a4e3b9793e.jpg?v=1646063989,3,Banane dessert bio 1kg Background,,,,,,,,,,,,,,,,,,,,,
brisee-fraiche-bio-1kg-rimed-glace,Brisée fraiche bio 1kg - Rimèd Glacé,"",Alexandre Terne,,Frais,"Alexandre Terne, Bio, Plante aromatique, Producteurs_Alexandre Terne",false,Poids,1kg,,,,,"",0.0,shopify,997,deny,manual,20.00,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_dd96451a-7fac-42b9-9762-8205dc5bf3b9.jpg?v=1645023237,1,,false,,,,,,,,,,,,,,,,,kg,,12.00,active
mango-moussache-500g,Mango moussache 500g,"Une variété de mangues de tout petit calibre, à la chair douce et lactée, très riche en fibres.",Thierry Jean,,fruit,"Bio, Catégorie_Fruits, Fruit",true,Poids,500g,,,,,"",0.0,shopify,0,deny,manual,1.50,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_1124cc23-6bac-405a-b308-9f6aaccdc48c.jpg?v=1644874463,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
mango-moussache-500g,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/583207fb-c6e6-40e8-b834-a8c7befb18a4_8fe576a9-d697-4e60-8dac-4c1dce59a568.png?v=1644874463,2,,,,,,,,,,,,,,,,,,,,,,
